param	estimate	std_err	z	pvalue	feature
ptidV002	-2.9008775313601887	0.22051167266055827	-13.155210771203102	1.5883995715686514e-39	348
ptidV005	-0.2751982565931764	0.06157317842131731	-4.46945023221182	7.842090276251325e-6	348
ptidV008	-3.862412015538337	0.2791055509835908	-13.838535285044962	1.4921615837543433e-43	348
ptidV012	-2.4517981138881466	0.09868835909133272	-24.843843148907673	3.014055346573377e-136	348
ptidV019	-4.334069152060432	0.30312115514439064	-14.298141447751854	2.247314326053083e-46	348
ptidV021	-1.3419423274375541	0.05947883291940997	-22.561678862391275	1.0313356494614197e-112	348
ptidV023	-3.2682194917321614	0.14793774852176175	-22.091856367892497	3.7851751919559625e-108	348
ptidV029	-3.277696821148436	0.1592688385233237	-20.579649173924516	4.1769331031314756e-94	348
ptidV030	-1.7611081171532965	0.06993645125799995	-25.18154818374267	6.380553487448287e-140	348
(Intercept)	-4.622904689462622	0.039799747133433504	-116.15412213458971	0	355
TimepointPre	-0.8781314816292934	0.08093253242533321	-10.850166865091495	1.99061603720142e-27	355
ptidV002	-3.705694532315195	0.3796861776839669	-9.759887902476246	1.6734008394086906e-22	355
ptidV005	-24.766506432557353	7775.085601999827	-0.0031853676860081346	0.9974584486008582	355
ptidV008	-5.475266861473201	0.7079878274049706	-7.733560733017145	1.0457944372945142e-14	355
ptidV012	-25.784873976135792	8605.486455763668	-0.0029963296216527005	0.9976092784331204	355
ptidV019	-3.359443838978346	0.21147481913682648	-15.885786556955274	7.949450347444016e-57	355
ptidV021	-5.141042303549964	0.37961300826021677	-13.542850723455418	8.73327987852711e-42	355
ptidV023	-25.78641041802465	10515.586328307278	-0.0024522085229436333	0.9980434226405974	355
ptidV029	-25.618415877220897	9110.823110133497	-0.002811866235085484	0.9977564583004441	355
ptidV030	-25.91968995520636	8898.582533767405	-0.0029127886218787142	0.9976759342160809	355
(Intercept)	-4.708556913429979	0.03897794277238539	-120.80054970899693	0	357
TimepointPre	-0.5329733378599767	0.05779271477831614	-9.222154382336587	2.91189818040768e-20	357
ptidV002	-2.6451499585876137	0.22112564581173955	-11.96220342908404	5.605448083037644e-33	357
ptidV005	-3.9340223610645837	0.3562791640485739	-11.04196584599663	2.3973003855537584e-28	357
ptidV008	-0.13234885675564353	0.06010221150411589	-2.202063009721033	0.02766085792516355	357
ptidV012	-6.2519497556709664	0.7079735219318085	-8.830767764607375	1.0395963764257612e-18	357
ptidV019	-3.401478975615868	0.216073444150307	-15.742235187632312	7.765159239273031e-56	357
ptidV021	-2.8262935392729043	0.12458616082204574	-22.68545334910735	6.2360983964090454e-114	357
ptidV023	-22.87087796552345	1807.7891035327018	-0.012651297610340824	0.9899059942298779	357
ptidV029	-4.17617634161045	0.279575310686875	-14.937572031486631	1.8769010022354024e-50	357
ptidV030	-3.4452753169418826	0.16809835555925073	-20.495592032888766	2.357023303116559e-93	357
(Intercept)	-5.941268751569679	0.06519054631642027	-91.13696827653654	0	1123
TimepointPre	-0.49787395578593857	0.041138854672793365	-12.102280429192428	1.0271749387581073e-33	1123
ptidV002	0.7479156685431899	0.09782193837927267	7.645684403056816	2.0783686121132624e-14	1123
ptidV005	1.197418581753396	0.08333503826936604	14.368729007874794	8.130975215294975e-47	1123
ptidV008	-1.4943110196950105	0.18803757574856628	-7.94687452093683	1.9127598106782776e-15	1123
ptidV012	0.5704638952455939	0.07716261723576531	7.393008631402159	1.4354315471063684e-13	1123
ptidV019	-0.5322277984109607	0.11347313400355986	-4.6903419305777145	2.7274886772072144e-6	1123
ptidV021	0.28312794979990163	0.07922728724721036	3.5736166116159778	3.520843363032468e-4	1123
ptidV023	-0.05575320084254933	0.08872507333028003	-0.6283815696044279	0.5297540076839738	1123
ptidV029	-0.13940461429140363	0.09335225372804497	-1.4933181441716343	0.13535392831214937	1123
ptidV030	-0.05589662892666224	0.0848309340982442	-0.6589179940176937	0.5099484303036074	1123
(Intercept)	-9.14241710097941	0.31710617633389143	-28.830775882942945	8.827031479762694e-183	1130
TimepointPre	-0.4970276056918487	0.07642117485148119	-6.503794356181837	7.831894468536946e-11	1130
ptidV002	3.3165728130562937	0.33211538602958235	9.986206458862698	1.7515715294397186e-23	1130
ptidV005	-0.5084340582914006	0.6592313309253467	-0.7712528735212332	0.4405570598172748	1130
ptidV008	-0.6610313647427669	0.6583026546349163	-1.0041450692757177	0.31530869446339493	1130
ptidV012	2.6436675622714665	0.3251641845407394	8.130254462081584	4.2839020214565656e-16	1130
ptidV019	0.41616271452701414	0.42820381680491515	0.9718799744295908	0.3311102633523991	1130
ptidV021	2.306492340871	0.3272250022355026	7.048643365004933	1.8067054414612214e-12	1130
ptidV023	2.8543086959446224	0.32436028469133654	8.799809442332936	1.3704866730433431e-18	1130
ptidV029	2.275591765264437	0.3318752359727619	6.856768805284412	7.043548179680242e-12	1130
ptidV030	0.2556516522200382	0.39443699596322634	0.6481431884849687	0.516892342599075	1130
